iter	Logloss
0	0.680939783
1	0.6705655484
2	0.6591485611
3	0.6478748047
4	0.6371343434
5	0.6284247368
6	0.6185649267
7	0.6101908138
8	0.6012974613
9	0.5923175423
10	0.5829042067
11	0.5759045501
12	0.5686146831
13	0.5603468125
14	0.5526852923
15	0.5458475164
16	0.5383291925
17	0.5327401527
18	0.5259323713
19	0.5195392272
20	0.5125920973
21	0.506378636
22	0.5009472435
23	0.4959436146
24	0.4903895927
25	0.4851887453
26	0.4799099835
27	0.4744413211
28	0.4699653007
29	0.4656754943
30	0.4610016896
31	0.4564649898
32	0.4523077286
33	0.4485671435
34	0.444368981
35	0.4404540941
36	0.436756783
37	0.4330543658
38	0.429568109
39	0.426421737
40	0.4232926481
41	0.4197076725
42	0.4172751605
43	0.414627676
44	0.4119585149
45	0.4095181074
46	0.4067982488
47	0.4042984614
48	0.4016031803
49	0.3992925382
50	0.3975439074
51	0.395104036
52	0.3924213635
53	0.3899642761
54	0.3879294434
55	0.3859118382
56	0.3839097254
57	0.3818320926
58	0.3798462284
59	0.3779361191
60	0.376339014
61	0.3746638577
62	0.3728219977
63	0.3715474096
64	0.3697463283
65	0.3682236616
66	0.3669381983
67	0.3650403458
68	0.3634914522
69	0.3619643379
70	0.3602663008
71	0.3590490509
72	0.3576005998
73	0.3563356313
74	0.3549399016
75	0.3537454993
76	0.3522600932
77	0.3512690189
78	0.3500251676
79	0.3487209301
80	0.3477391843
81	0.3466692153
82	0.3455674186
83	0.3446666014
84	0.3440192601
85	0.3431631826
86	0.3422160456
87	0.3414332468
88	0.3403499734
89	0.3395271513
90	0.3388062675
91	0.338048683
92	0.337475193
93	0.3367953119
94	0.3359471908
95	0.3351766325
96	0.3343768351
97	0.33357386
98	0.3328837146
99	0.3321572212
100	0.331308134
101	0.3306062439
102	0.3300307482
103	0.3295411262
104	0.3289131043
105	0.3281351649
106	0.3275767526
107	0.3268930244
108	0.326369714
109	0.3256180338
110	0.3250539682
111	0.3243193069
112	0.323864299
113	0.3235160795
114	0.3230865361
115	0.3226074373
116	0.3222198948
117	0.3214741616
118	0.3208623339
119	0.3200773498
120	0.3195197158
121	0.319038698
122	0.3185844991
123	0.3180835072
124	0.3177069937
125	0.3173479978
126	0.3168800953
127	0.3163776286
128	0.3160890495
129	0.3157063826
130	0.315247033
131	0.3147352933
132	0.3142185067
133	0.3138081532
134	0.3134695739
135	0.3129910731
136	0.3124256463
137	0.3120251316
138	0.3115061137
139	0.3110842733
140	0.3105768098
141	0.3102785347
142	0.3099618257
143	0.3095505241
144	0.3092111739
145	0.3088706234
146	0.3085633063
147	0.3081002848
148	0.3076398852
149	0.3073168574
150	0.3069609728
151	0.3066387682
152	0.3063072215
153	0.3060622714
154	0.3055895274
155	0.3051322037
156	0.3046489443
157	0.3043668872
158	0.3040290296
159	0.3037158399
160	0.3032815093
161	0.3029413871
162	0.3025588891
163	0.3021719049
164	0.301934124
165	0.3017255688
166	0.3014745335
167	0.3011603758
168	0.3010098765
169	0.3005387042
170	0.3002657521
171	0.2999837266
172	0.2996485611
173	0.2993579497
174	0.2990386994
175	0.2987137682
176	0.2984231287
177	0.2981637001
178	0.2979596732
179	0.2976162553
180	0.2973933109
181	0.2971291675
182	0.2968770847
183	0.296652557
184	0.2964894448
185	0.2962234106
186	0.2957451683
187	0.2953096128
188	0.295099485
189	0.2947686851
190	0.2945709477
191	0.2943091622
192	0.2939794032
193	0.2937347976
194	0.2934138971
195	0.2932070142
196	0.2930010996
197	0.2928401341
198	0.2926091259
199	0.2923195693
200	0.292133614
201	0.2919586644
202	0.2917020018
203	0.2915571515
204	0.2913246811
205	0.2910199785
206	0.290837644
207	0.2907203458
208	0.2904953457
209	0.2903461638
210	0.2901378924
211	0.28979047
212	0.2895984849
213	0.2894096962
214	0.2891597041
215	0.2889686075
216	0.2886015518
217	0.2883198427
218	0.288004656
219	0.2877691849
220	0.2874863876
221	0.2872849204
222	0.2870727973
223	0.2868945096
224	0.2866702721
225	0.286607029
226	0.2862403163
227	0.2858881057
228	0.2856537574
229	0.2854295669
230	0.2851740467
231	0.2848586406
232	0.2847414829
233	0.2845729956
234	0.2844011336
235	0.2841681511
236	0.2838903086
237	0.283734524
238	0.2835705386
239	0.2833645811
240	0.2831465747
241	0.2830084075
242	0.2828843225
243	0.2827311785
244	0.2825806737
245	0.2824848348
246	0.2823483064
247	0.282124157
248	0.2819793368
249	0.2816699386
250	0.2814904725
251	0.2812902363
252	0.2811284789
253	0.2808745319
254	0.2806389578
255	0.2805122761
256	0.2802578132
257	0.2799783028
258	0.2798332697
259	0.2794950642
260	0.2792267183
261	0.2790645334
262	0.2788848066
263	0.2787285234
264	0.2786174689
265	0.2785485031
266	0.2783803814
267	0.2782327868
268	0.2780331053
269	0.2778855507
270	0.2777147182
271	0.2776246296
272	0.2774755305
273	0.2772968364
